Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2004,21.02,20.32,20.78,19.91,14.86,12.18,13.08,13.50,14.14,15.00,15.67,16.04
2005,14.41,14.40,14.98,14.16,13.77,14.01,14.31,14.61,15.58,15.26,15.47,16.72
2006,17.27,17.97,19.25,20.59,19.53,16.65,17.95,18.55,20.09,20.92,20.72,20.95
2007,21.24,19.64,17.95,19.28,19.74,20.08,21.30,19.47,21.05,24.59,25.15,26.55
2008,25.33,22.19,20.58,21.26,21.46,19.04,17.56,18.63,17.98,13.77,12.42,12.69
2009,12.73,13.38,13.30,15.89,18.67,20.16,19.83,20.50,21.86,22.34,21.91,22.70
2010,22.84,20.72,22.03,22.76,21.20,21.73,22.42,22.95,24.51,25.23,24.39,23.82
2011,22.84,20.67,21.16,22.02,20.37,20.20,20.49,18.29,18.11,18.15,18.11,17.32
2012,17.71,19.09,18.74,18.46,16.97,16.89,17.22,17.67,18.42,18.95,18.14,18.63
2013,18.87,18.26,17.89,17.40,18.13,17.49,17.88,16.12,16.83,17.72,17.80,18.56
2014,18.29,17.37,18.33,18.99,19.62,20.57,20.66,20.42,21.20,20.65,21.50,21.23
2015,21.73,23.09,23.21,22.88,22.40,22.70,23.49,22.99,21.69,22.48,21.36,21.10
2016,20.34,19.34,20.39,21.29,21.51,22.52,23.33,23.65,24.08,23.35,21.99,21.49
2017,22.44,23.23,23.47,23.37,24.25,24.31,25.10,25.37,25.99,26.26,26.35,26.42
2018,27.24,25.61,24.97,26.00,26.58,26.77,27.19,28.22,27.46,25.05,25.59,26.07
2019,26.08,26.66,27.76,29.12,28.88,29.25,28.28,27.12,26.93,26.51,27.67,28.18
2020,27.96,26.92,21.38,20.38,21.24,24.70,28.60,31.59,32.55,33.99,34.34,37.26
2021,38.90,40.8,40.43,32.73,29.27,29.08,28.11,26.11,26.98,27.31,23.43,23.69
2022,23.42,22.54,21.70,22.70,20.32,19.5,20.73,21.2,20.64,20.90,21.90,22.09
2023,21.49,20.89,20.29,20.70,21.56,21.80,23.35,22.43,22.39,21.74,21.02,22.61
2024,22.86,22.66,22.52,23.07,21.56,22.18,23.22,22.86,24.26,23.24,22.01
